metier_original,occurrences,mots_malgache,mots_francais
MAMBOLY VARY (MADINIKA),2,"mam, var, vary, mboly",
MPIASA KARIERA VATO,2,mpi,
MIVAROTRA VOANJO KATSA,2,"miv, var",
MIVAROTRA AMIN EPICERIE,2,"miv, var",
CONTROLEUR INTERNE PROMA BIO SARL,2,,
BOSCO,2,,
MPANAO PEINTURE,2,mpan,
ENSEIGNEMENT,2,,
MPITONDRA VEDETTE,2,mpi,
"MANAO SY MIVAROTRA YAOURT SY SIRO,JUS",2,"man, miv, var",
MPAPIANATRA ECOLE PRIVEE SECONDAIRE,2,,
MIKAPA AHITRY AMINY FARY,2,,
MITONDRA MPANDEHA @ LAKANA,2,mpan,
MPIVAROTRA BOKY,2,"mpi, var",
MANJONO HAZAN-DRANOMAMY,2,"mam, man, rano",
GARDIEN EN MAGASIN DE STOCKAGE,2,,
GREFFIER PENITENTIAIRE,2,,
MIANTOKA TOAKA GASY,2,,
MANERA LEGUME,2,man,
MANAMBOATRA KOFAFA SATRANA,2,man,
MIKARAMA MIARAKANDRO(MIAMBY OMBY),2,"omby, karama",
MANAMPY MAMBOATRA KOFAFA,2,"mam, man",
MPANAO JOURNE AO@ SILAC,2,mpan,
MAIRE DU COMMUNE URBAINE PORT BERGER,2,,
DELEGUE AU MAIRE PORT BERGER II,2,,
TRAVAIL DOMESTIQUE,2,,
MANAO SUPERVISION NY MPIASA ENY AN-TSAHA,2,"mpi, man",
MIOMPY GANA SY AKOHO,2,akoho,
NANAO SARAKA ANTSAHA,2,,
MIASA AMINY GARAGE,2,,
MIVAROTRA ANAMALAO SY ANGIVY,2,"miv, var",
SECURITE (MIANDRY PARKING ),2,,
MPIASANY CONFRUIT(MPANAO LUGUME),2,"mpi, mpan",
RESPONSABLE DE STOCK( materiau de construction,2,,responsable
MACHINISTE AO @ZONE,2,,
NANAPAKA HAZO,2,,
MPANAO BIRIQUE,2,mpan,
MITAONA ENTANA AMIN'NY KALESA,2,entana,
MIVAROTRA MAHABIBO,2,"miv, var",
MIOMPY OMBIVAVY BE RONONO,2,,
MPANAMPY CHAUFFEUR,2,mpan,chauffeur
MIVAROTRA MANDEHA CAFE SY SIRA ARY SIRAMAMY,2,"mam, man, miv, var",
MIANDRY AOMBY N'OLONA,2,omby,
MANDIO JOROFO,2,man,
NAGNOFY COLA,2,,
ELEVAGE POULET DE CHAIRE,2,,
MANDRAFITRA FARAFARA,2,man,
MIVAROTRA MANDEHANDEHA,2,"man, miv, var",
MANAO SECURITE,2,man,
MANAMBOTRA PLANCHE,2,man,
MPANAMBOATRA ROCAGE KAKAZO,2,mpan,
EMBALLEUR BISCUIT SY BONBON,2,,
MIVAROTRA SAMBOS SY CATLES,2,"miv, var",
MANAO PARPAING,2,man,
MPAJAITRA KIRARO,2,,
IRAKIRAKA,2,,
ASSISTANTE RH,2,,assistant
MPIVAROTRA EPI_GARGOTTE,2,"mpi, var",
MODERATION EN INTERNET,2,,
C0LLECTEUR DE LA VANILLE,2,,
MPITSABO NENTIM PAHARAZANA,2,mpi,
MANOEUVRE MPANAO LALANA,2,"man, mpan",
MPIVAROTRA AKOHO MANDEHANDEHA,2,"mpi, man, var, akoho",
MPIVAROTRA ATODY,2,"mpi, var",
MITOTO KATSAKA ATAO PROVANDE-N'AKOHO FAKANA NOFONY,2,"akoho, katsaka",
MPANDOKO TRANAO,2,mpan,
MPIVAROTRA LAMBA (CONFECTION),2,"mpi, var, lamba",
MPAMPIANATRA@COLLEGE PRIVE,2,"mpi, mpam",
MPAMPIANATRA CLASSE 10eme,2,"mpi, mpam",
SERVEUSE AMIN NY GARGOTTE,2,,
MIVAROTRA LASOPY SY MOFO,2,"miv, var, mofo",
AGENT DE SURFACE,2,,agent
0PERATEUR DE SAISIE,2,,
MANAMBOATRA BISIKILETA,2,man,
GARDIEN FAMBOLENA OLON-tsotra,2,famb,
MPANDRARY TANTY SY TSIHY,2,mpan,
MPANDOKO MOTO FIARA,2,mpan,
MANAMPY MIVAROTRA VARY,2,"man, miv, var, vary",
SECRETAIRE GENERAL D'ETAT CIVILE,2,,secretaire
DEPANEUR,2,,
MANAO FROMAGE,2,man,
CROCHET ROFIA,2,,
CAISSEUSE AO  JUMBO,2,,
MANAMBOATRA SY MIVAROTRA PATTE,2,"man, miv, var",
MIOMPIANA KISOA,2,mpi,
MPIVAROTRA MOKARY SY CAFE,2,"mpi, var",
MIVAROTRA BALAHAZO,2,"miv, var",
MANAMBOATRA FANAKA MPANAMPY,2,"man, mpan",
FIVAROTANA LAMBA,2,"var, lamba",
ADMINISTRATIF FINANCIER SISCO BETROKA,2,,
MAMPIANATRA AM CEG BETROKA,2,"mpi, mam",
PITAONA BIRIKA,2,,
PIOMPY KISOA,2,,
MANERA TANY SY TRANO,2,"man, tany, trano, rano",
MIVAROTRA FRIPPY,2,"miv, var",
MAMAOFY VOAMADILO,2,mam,
TÂCHERON,2,,
MAMBOLY VARY MANIOC KATSAKA HARICOT,2,"mam, man, var, vary, katsaka, mboly",
MITAONA ETANA ETIN'OLONA AMIDY,2,,
MANAPA-BARY,2,man,
MAMAROTRA VARY,2,"mam, var, vary",
MIASA @HOTELY MPIVAROTRA SAKAFO MASAKA,2,"mpi, var",
MIVAROTRA TONO-AKOHO,2,"miv, var, akoho",
MANAMBOATRA ARINA,2,man,
MPAMPIANATRA MANDIHY,2,"mpi, man, mpam",
MAMPIANATRA MANDIHY,2,"mpi, mam, man",
MPINTRANDRAKA VOLAMENA,2,mpi,
ELECTRO MECANICIEN,2,,
MPAMPIANATRA ECOLE PRIVE PRIMAIRE,2,"mpi, mpam",
MPAMPIANATRA EPP PRIMAIRE,2,"mpi, mpam",
"Mamboly vary,la vanille,tsaramaso",2,"mam, var, vary, mboly",
MPIOMPY AKOHO GASY,2,"mpi, akoho",
MPAMBOLY VARY/BALAHAZO/BELE,2,"var, vary, mboly, mpam",
MIKARAMA MANOTO KOBA VARY,2,"man, var, vary, karama",
ELECTRICIEN AN NY JIRAMA,2,,electricien
MANAMPY MIVAROTRA TONGOLO,2,"man, miv, var",
MIASA MANDAVAKA CANAL,2,man,
MPIVAROTRA SIGARA SY GANDRY,2,"mpi, var",
MAGASINER MPANAMBOATRA LALANA CGC,2,mpan,
HIRAKIRAKA SY MPANDAMINA ENTANA AO AMIN'NY ORINASA,2,"entana, mpan",
MIVAROTRA(GROSSISTE),2,"miv, var",
MIASA ATRANO,2,"trano, rano",
ASSISTANTE SOCIALE,2,,assistant
MPAMPIANATRA AMINY AMBARATONGA FAHAROA,2,"mpi, mpam",
PANANMPY AO ATRANO,2,"trano, rano",
MITAONA BIRIKA,2,,
"MPAMBOLY VARY,BALAHAZO,BELE,KABARO",2,"var, vary, mboly, mpam",
MAMBOLY KATSAKA SY KABARO,2,"mam, katsaka, mboly",
VOLO VOANJO,2,,
QUINCAILLERIE,2,,
CAISER QUINCAILLERIE,2,,
MANAMBOATRA SY MIVAAROTRA CHARBON,2,"man, miv",
MPAMPIANTRA AM EPP,2,"mpi, mpam",
MAMPRARY SY MIVAROTRA TSIHY,2,"mam, miv, var",
MITOTO AO AMIN NY MACHINE,2,,
MIKARAMA MIVAROTRA VARY FOTSY,2,"miv, var, vary, karama",
NAMBOLY ANANANA,2,mboly,
NAMBOLY ANANA,2,mboly,
FIVAROTANA TSITSIKA ANDRANOMASINA,2,"var, rano",
COORDINATRICE DE PROJET,2,,
D0KERA,2,,
NIKARAKARA POMMA,2,,
MPAMBOLY LANGILANGY,2,"mboly, mpam",
MANERA MPANDEHA AMIN NY STATIONNEMENT,2,"man, mpan",
CONDUCTEUR TRACTEUR,2,,
MANAO VARY,2,"man, var, vary",
ASA ANGADY,2,,
MPAMBOATRA TELEPHONE,2,mpam,
MAHANDRO SY MIVAROTRA VARY MASAKA,2,"miv, var, vary",
MANAO CROCHET @ROFIA,2,man,
MANAMBOATRA MENAKA AM RAVINA JIROFO,2,man,
MITENDRY CLAVIER,2,,
SECURITE MAGASIN,2,,
MPANAO LAVAGE FIARA SY MOTO,2,mpan,
MANAO LIVRAISON,2,man,
MPIVAROTRA PIECES AUTO,2,"mpi, var",
MACON MAHALEO TENA MIASA AMIN OLONTSOTRA,2,,
MIKARAMA MANASA LAMBAN OLONA AMINA TOKANTRANO MARO,2,"man, lamba, trano, rano, karama",
MANEFY VY HO ANTSY BE SY ANGADY,2,man,
MACHINISTE MAMPIASA MACHINE,2,"mpi, mam",
MIVAROTRA CHARBON MIPETRAKA,2,"miv, var",
MPIVAROTRA PIECE BICYCLETE,2,"mpi, var",
MAHAKA SY MIVAROTRA RANO,2,"miv, var, rano",
MANEFY FIRAVAKA VOLAFOTSY,2,man,
MPIOMPY ZANAKA AKOHO MANATODY LAVA,2,"mpi, man, akoho",
CHAUFFEUR ACF,2,,chauffeur
MPANDRAY ANTSORATRA,2,mpan,
MIVIDY SY MIVAROTRA CHARBON,2,"miv, var",
MPANAO RAPARATION RADIATEUR,2,mpan,
"MIVIDY DIA MIVAROTRA VOMAINA, VARY...",2,"miv, var, vary",
"MIVIDY SY MIVAROTRA VOMAINA,VARY...",2,"miv, var, vary",
MPIVAROTRA FARY,2,"mpi, var",
DJ,2,,
SARAKATSAHA MANAPA-BARY,2,man,
MPITONDRA POUSSE,2,mpi,
MAMPIANATRA ENY @ AMBARATONGA FOTOTRA,2,"mpi, mam",
MANAMBOATRA HARONA VITA AMINY ROFIA,2,man,
MPIKARAKARA VANILE AMIN'NY MAGASIN,2,mpi,
BIJOUTIER,2,,
MPITONDRA TUC TUC,2,mpi,
NANAO SARAKATSAHA,2,,
MIVAROTRA KATSAKA SY MANGAHAZO,2,"man, miv, var, katsaka",
MPANAMPY FIANAKAVIANA @ FIOMPIANA ONDRY,2,"mpi, mpan",
MPANAMPY FIANAKAVIANA MIVAROTRA VARY FOTSY,2,"miv, var, vary, mpan",
MPIVAROTRA BAOBAB,2,"mpi, var",
KIBAROA MANATITRA OLO AMINY KALESA,2,man,
MPIVAROTRA PIECE AUTO,2,"mpi, var",
MPAKA SARY,2,,
MAINTENANCE A ZOARA HOTEL,2,,
NETOYAGE,2,,
MPANAMBOATRA SY MPIVAROTRA SAMBOSA SY KATLESY,2,"mpi, var, mpan",
MANAMBOATRA SY MIVAROTRA SAMBOSA SY KATLESY,2,"man, miv, var",
MPAMPIANATRA PRIVEE 9è,2,"mpi, mpam",
FITSIMPONANA KITAY,2,,
MITSIMPONA KITAY,2,,
MPITSIMPONA KITAY,2,mpi,
AIDE CHAUFERE TAXI BE,2,,
MPANAO SARAKAN-TSAHA,2,mpan,
MIKARAMA MANAO ASA TANIMBARY,2,"man, karama",
MPAMPIANATRA EPP ATANANDAVA I,2,"mpi, mpam",
MIVAROTRA KOJAKOJA MANDENDEHA,2,"man, miv, var",
MPANAMBOATRA MENAKA AM RAVINA JIROFO,2,mpan,
MPANAMBOATRA HARONA,2,mpan,
MIVAROTRA MOFO SAKAY,2,"miv, var, mofo",
OPERATEUR VIDEO,2,,
MANJAITRA AKANJO LAMODY,2,man,
MPAMIANATRA SECONDAIRE,2,mpam,
MANAO PHOTOCOPIE,2,man,
MANARAKA TOMOBILE MAKA FASIKA,2,man,
M1MBOLY,2,mboly,
OUVRIERE JOURNALIERE,2,,ouvrier
MPAMBOLYVARY,2,"var, vary, mboly, mpam",
CHAUFFEUR FIARA @ PROJET MISAHANA ENVIRONNEMENT,2,,chauffeur
MPIVAROTRA LAMBA ZAITRA TSENA,2,"mpi, var, lamba",
CHEF DE SERVICE FINANCE,2,,chef
NIVAROTRA BONONOKA,2,var,
ACCUEIL,2,,
MIVAROTRA RAN-KENA,2,"miv, var",
MPABOLY GIROFLE,2,,
GARGOTTE MANDAFO SAHOABA,2,man,
MAKA VILINA,2,,
MPANDRAFITRA FANAKA VITA @ HAZO,2,mpan,
NAMBOLY VOMANGA,2,"man, mboly",
"MPAMPIANATRA COURS BEPC,BACC ET DES CONCOURS",2,"mpi, mpam",
MANIHAKA TRONDRO,2,man,
GARDE DU PROJET BAS MANGOKY,2,man,
MANAMPY MPANARATO,2,"man, mpan",
MPANAO MENAKA PALMIER,2,mpan,
MIVAROTRA TSAKO MASAKA,2,"miv, var",
MPANAMBOATRA MENAKA VOANIO,2,mpan,
MPIAMBINA BAR,2,mpi,
"comissionaire vanille,cafe",2,,
ASSISTANCE COMPTABLE,2,,comptable
CHAUFFEUR DU BANQUE BAOBAB,2,,chauffeur
CUISINIERE HOTEL,2,,
NANDALOTRA TRANO,2,"trano, rano",
"MAMBOLY VARY ,ANANA",2,"mam, var, vary, mboly",
MANAO SARAKANTSAHA FAMBOLENA,2,"man, famb",
"MAMBOLY BALAHAZO?TRAKA, TSOMADILO",2,"mam, mboly",
MIVAROTRA LEGUMA,2,"miv, var",
MAMBOLY VARY KATSAKA MANGAHAZO,2,"mam, man, var, vary, katsaka, mboly",
MPANAMBOATRA HARONA SATRANA,2,mpan,
MANAO LAVAGE FIARA,2,man,
MANAMBOATRA  BIDON,2,man,
MPIOMBY OMBY,2,"mpi, omby",
MPAMBOLY TSAKO,2,"mboly, mpam",
MAMBOLY SALADE,2,"mam, mboly",
MIASA MANAMPY @ FITONDRANA VEDETTE,2,man,
MIKARAMA MIVAROTRA PATSA ENY ANTSENA,2,"miv, var, karama",
Serveuse amin'i hotely fisakafoana,2,,
GARDIEN POLYNNE AIRTEL,2,,
NITANGO TSARAMASO,2,,
MIAMBINA OMBY ANY ATSAHA,2,omby,
MAMBOLY VARY SY ANANA,2,"mam, var, vary, mboly",
MPANGADY VOVO,2,mpan,
MITAONA ZEZIKA AMIN'NY SARETY,2,,
MPITATITRA ENTANA NA DOKERA,2,"mpi, entana",
MAMBOLY LAISOA SY HARICOT VERT,2,"mam, mboly",
MPAMBOLY VOATABIA MAHALEOTENA,2,"mboly, mpam",
MAMBOLY HARICOT VERT SY CAROTTE,2,"mam, mboly",
MANAO REPARATION FANAMAFISAMPEO,2,man,
COMMISSIONAIRE LA VANILLE,2,,
MANAO PATE,2,man,
MPAMBOLY MADINIKA (MANGAHAZO),2,"man, mboly, mpam",
MPAMBOLY MADINIKA FA MANAMPY NY VADINY IZY,2,"man, mboly, mpam",
MPIVAROTRA MOFO SY KAFE ARY DITE,2,"mpi, var, mofo",
MPAMPIANATRA AMIN'NY AMBARATONGA VOALOHANY,2,"mpi, mpam",
MPANAMBOATRA MESO SY ANGADY,2,mpan,
MPAMBOLY SY MPIVAROTRA KATTY,2,"mpi, var, mboly, mpam",
PDT FOKONTANY,2,tany,
MPIKAPOKA GILASY ATAO AMINY TRONDRO,2,mpi,
FAMPIANARANA AMIN'NY LYCEE,2,mpi,
MPANERA LAMBA,2,"lamba, mpan",
MPANJAITRA AO AMINY ZONE FRANCHE,2,mpan,
SAOFERA TAXIBUS,2,,
Mamboly vary sy vanille,2,"mam, var, vary, mboly",
Mamboly vary sy Vanille,2,"mam, var, vary, mboly",
MIVAROTRA ENATANA MADINIKA EPICERIE,2,"miv, var",
SATRAKANTSAHA,2,,
SARKANTSAHA,2,,
NIASA NISANGOBARY,2,,
NAMBOLY GIROFLE,2,mboly,
MIAVA FAMBOLENA,2,famb,
PREFET D'ETUDE DANS L'ECOLE CATHOLIQUE,2,,
CONDUCTEUR D'AUTO BUS,2,,
MAMBOLY KARAOTY,2,"mam, mboly",
MIASAN'NY KAOMININA,2,,
MANATITRA SY MAKA MPIANATRA,2,"mpi, man",
MIVAROTRA VOLAFOTSY,2,"miv, var",
MIVAROTRA CAFE SY MOFO SY DU THE,2,"miv, var, mofo",
MIVAROTRA POKETRA FRIPPERIE,2,"miv, var",
AIDE MAINOEUVRE EN FER,2,,
MPIASA ATRANO,2,"mpi, trano, rano",
VOLY FARY,2,voly,
MPIANDRY POMPY,2,mpi,
CONTROLE DE QUALITE,2,,
OUVRERE,2,,
MIKARAKARA VOKATRA TSARAMASO,2,,
MANAMPY MIKARAKARA FAMBOLENA,2,"man, famb",
MAGNETSA,2,,
NIASA TANIMBARY,2,,
PLANTON,2,,
MPAMPIANATRA AMIN'NY GEG,2,"mpi, mpam",
MIVAROTRA ENTANA MAJINIKA,2,"miv, var, entana",
PAOMPISTE SHELL,2,mpi,
MPAMPIANATRA AMIN PRIVE,2,"mpi, mpam",
FITOTOANA VARY,2,"var, vary",
MPITATITRA ENNTANA,2,mpi,
MAçON MANDRAFITRA TRANO,2,"man, trano, rano",maçon
MPIASA @ZONE FRANCHE,2,mpi,
PAKING ZONE FRANCE,2,,
MAPANOFA TUC TUC,2,,
MEDCIN,2,,
MECANICIEN FIARA MOTO,2,,
MPIASA PMU BET,2,mpi,
MAMBOLY ANTSOROKA,2,"mam, mboly",
MPIVAROTRA VARILAVA SY TSIVAKY,2,"mpi, var",
MANAMPY AMIN'NY FIVAROTANA,2,"man, var",
MIBATA ENTANA ENY ANTSENA,2,entana,
INFORMATICIEN AO AMIN NY GENDARMMERIE,2,,
MPIAVOTRA TRONDRO,2,mpi,
MIARAKANDRO ONDRY,2,,
MANDRARY VOVO,2,man,
MAMBOLY VARY SY MANGAHAZO ARY OVY,2,"mam, man, var, vary, mboly",
ASA ATRANO,2,"trano, rano",
RESPONSABLE D'HOTEL,2,,responsable
MPAMBOLY VARY SY VOANJO ARY MPIOMPY OMBY,2,"mpi, var, vary, omby, mboly, mpam",
MPIVAROTRA AMORONDALANA ISAKY NY ANDRO TSENA,2,"mpi, var",
MPIVAROTRA VOANKAZO(paoma sy paiso)AMORONDALANA,2,"mpi, var",
MANANGONA SY MIVAROTRA VOAMAINA,2,"man, miv, var",
MPAPMPIANATRA @ COLLEGE SECONDAIRE,2,mpi,
ARCHIVISTE,2,,
MACHINISTE ZONE FRANCHE TEXTILE,2,,
MPAMPIANATRA PRE PRIMAIRE PRIVE,2,"mpi, mpam",
MENDING,2,,
FAMBOLENA KABARO,2,famb,
MAMBOLY  VARY  KATSAKA  TSARAMASO...,2,"mam, var, vary, katsaka, mboly",
MAMBBOLY VARY,2,"mam, var, vary",
MAMBOLY VARY MANGAHAZO VOANJOBORY KATSAKA,2,"mam, man, var, vary, katsaka, mboly",
MIKARAMA MAMAKY VATO,2,"mam, karama",
MIKAPOKA VATO MADINIKA,2,,
MIVAROTRA VOATABY,2,"miv, var",
MANAO SARAK'antsaha,2,man,
DOKERA MITAONA FASIKA,2,,
MANJAITRA AKANJO AMIN'MASININA,2,man,
"MPAMBOLY VARY, TSOROKO, KATSAKA, LOJY",2,"var, vary, katsaka, mboly, mpam",
SECRETAIRE DE DIRECTION ECOLE PRIVE,2,,secretaire
MPAMPIANATRA HISTO GEO CEG KATOLIKA,2,"mpi, mpam",
MECANICIEN AUTO,2,,
MAMPANOFA FILM,2,"mam, mpan",
MANAMBOATRA SAKAFO MASAKA,2,man,
ASSISTANT GEOMETRE,2,,assistant
MPIVAROTRA PERRUQUE,2,"mpi, var",
MPIVAROTRA BAIGNET,2,"mpi, var",
MPIASAN'NY MACHINE MPITOTO VARY,2,"mpi, var, vary",
MPAMBOLY VOANEBA,2,"mboly, mpam",
CONDUCTEUR TRAIN,2,,
MIBATA VATO,2,,
MANAO SY MPIVAROTRA JUS NATUREL(voamadiro),2,"mpi, man, var",
RECEPTIONISTE BENGALOW,2,,
CHAUFFEUR LIVREUR,2,,chauffeur
CHEF DE SERVICE D AFFAIRE REGIONALE,2,,chef
CHEF DE SERVICE F.0.P,2,,chef
MAPMBOLY VOANEMBA,2,mboly,
MPANAO SERIGRAPHIE MIASA TENA,2,mpan,
RESPONSABLE COMMUNICATION,2,,responsable
MPIVAROTRA HOTEL,2,"mpi, var",
MPAMBOLY VOMANGA SY MANGAHAZO,2,"man, mboly, mpam",
MPIANDRY CACAO,2,mpi,
MIVAROTRA BALE FRIPE,2,"miv, var",
MANDRAGIRAGY TANIMBARY,2,man,
MIKARAMA MITOTO VARY,2,"var, vary, karama",
MAMBOLY VARY FARY MANGAHAZO,2,"mam, man, var, vary, mboly",
MPANJAITRA ANY AMIN ZONE FRANCE,2,mpan,
SERVEUR ANY AMIN'NY ESPACE,2,,
MPAMBOLY MADINIKA (vary),2,"var, vary, mboly, mpam",
MIOMPY GISA,2,,
MAMPOBLY,2,mam,
AIDE CHAUFFEUR TAXI BROUSSE,2,,chauffeur
MANAMPY MAMBOLY ANANA SY HARICOT VERT,2,"mam, man, mboly",
MANAMPY MIVAROTRA ENTA-MADINIKA,2,"man, miv, var",
MAMBOATRA TADY VITA AMIN'NY LALOASY,2,mam,
MIKARAMA MIAVA TANIMBOLY,2,"mboly, karama",
MANAMBOATRA TALY,2,man,
MPIASAN NY COMMUNE,2,mpi,
SECRETERA,2,,
TSARAKANTSAHA,2,,
MANOEUVRE AGRICULTURE,2,man,
MPIBATA ENTANA AO AM JB,2,"mpi, entana",
TECHNICIEN EN INFORMATIQUE,2,,technicien
TRANSPORTEURE,2,,
MANAMBOATRA CAKE,2,man,
MANAMBOATRA BALUSTRE,2,man,
MITAZONA POINT DE VENTE AMY PMU BET261,2,,
MANAMBOATRA BIRIKY,2,man,
MIVAROTRA MOTO,2,"miv, var",
NANMBOLY KABARO,2,mboly,
MIVIDY DIA MIVAROTRA TSONDRO LENA,2,"miv, var",
NITAONA BRIQUE,2,,
MIVAROTRA LAMBA MANDEANDEA,2,"man, miv, var, lamba",
MANARAKA SARETY,2,man,
CUISINERE,2,,
MIVAROTRA KAKY,2,"miv, var",
MIVIDY SY MIVAROTRA PPN,2,"miv, var",
CHEF DU PROJET,2,,chef
MPIVAROTRA VOANKAZO MANDEHANDEHA,2,"mpi, man, var",
FAMBOLENA MADINIKA(VARY),2,"var, famb, vary",
MIVAROTRA TOKA GASY,2,"miv, var",
MIVAROTRTA OMBY,2,"miv, var, omby",
MAANMPY MIVAROTRA OMBY,2,"miv, var, omby",
MPAMBOLY ANANA SY HARICOT VERT,2,"mboly, mpam",
"MAMBOLY LAISOA, ANANA,CAROTTE",2,"mam, mboly",
"MAMBOLY ANANA,LAISOA, CAROTTE",2,"mam, mboly",
"MAMBOLY ANANA , CAROTTE,LAISOA",2,"mam, mboly",
MPANDRAFITRA ALLU,2,mpan,
CHEF MAGASINNE,2,,chef
SECRETAIRE AO AM TRAVAUX PUBLIQUE,2,,secretaire
LIVREUR MOFO,2,mofo,
CHAUFFEUR BAJAJ (REMPLACANT),2,,chauffeur
MIVAROTRA FRIRY TRONDRO,2,"miv, var",
MAMBOLY HARICOT-VERT,2,"mam, mboly",
sarakantaha,2,,
POLICE MUNICIPAL,2,,
LIVREUR CARTE DE CREDIT,2,,
PROF DE SCIENCE PHYSIQUE,2,,
CLAIRC HUISSIER DE JUSTICE,2,,
MITONDRA MOTO,2,,
MPIVAROTRA PATY,2,"mpi, var",
MPITRANDRAKA TOURMALINE SY VATOSOA,2,mpi,
MITAZONA VIDEO,2,,
COMPTABLE AO AMINY COMMUNE,2,,comptable
"MAMBOLY VARY,OVY,KAROTY,CONCOMBRE,KATSAKA",2,"mam, var, vary, katsaka, mboly",
"MAMBOLY VARY,OVY,KATSAKA, CONCOMBRE,KAROTY",2,"mam, var, vary, katsaka, mboly",
MPITARO POUSSY,2,mpi,
MPIANTOKA ANANA,2,mpi,
MPIKARAKARA NY VOLY ARTEMESIA,2,"mpi, voly",
INGENIEUR BTP,2,,
DIRECTEUR GENERALE(ingenieur),2,,directeur
MIVAROTRA PRODUIT LOCAUX,2,"miv, var",
MITAONA ENTANA AO AMIN SAMBO,2,entana,
MPAKA FASIKA,2,,
MIVAROTRA HANI MASAKA,2,"miv, var",
MANJAITRA AO AMIN'NY CALINA,2,man,
MANOTO FARY HANAMBOARANA TOKA GASY,2,man,
MITONDRA FIARA FITANTERANA,2,,
MANAO SECURITE AMINY PARKING,2,man,
MANAO SECURITE AMINY ALINA AMINY PARKING,2,man,
MIVAROTRA ORANGE SY SAKOA,2,"miv, var",
"Mivarotra anana, voamaina, voatabia",2,"miv, var",
Manamboatra toaka gasy,2,man,
"Mamboly Vary,Batata,Fary",2,"mam, var, vary, mboly",
TRICOTTEUSE,2,,
Mivarotra toaka Gasy,2,"miv, var",
Miambina omby,2,omby,
MIVAROTRA PPN SY MANAO MOFO,2,"man, miv, var, mofo",
INGERIER FORESTIER,2,,
MIVAROTRA PUCE,2,"miv, var",
MPANAMPY AN-TRANO KILASY MODY,2,"trano, rano, mpan",
MANOEUVRES DEMARCHEURE,2,man,
COMMISSIONNAIRE DE LA VANILLE,2,,
MAMPIANATRA ANY AMINY CEG,2,"mpi, mam",
CHAUFFEUR BADJAJ,2,,chauffeur
CHAUFFEUR TRANS RURALE,2,,chauffeur
TECHICIEN AGRICOLE,2,,
MAMOKATRA CLARINETTE,2,mam,
NAKA VOANJO,2,,
MITONDRA TAXI BISIKILETA,2,,
MIVAROTRA LAMBA PRIPERIE,2,"miv, var, lamba",
MIVAROTRA KITAIM-BAKOANA,2,"miv, var",
MITAOM-BIRIKY,2,,
MANAO COUPE FIL LAMBA VOAZAITRA,2,"man, lamba",
MANAO COVETTE PLASTIKA,2,man,
MANAMBOATRA VOLOMASO ARTIFICIELLE,2,man,
PAMPIANATRA LYCEE PRIVE,2,mpi,
MIVAROTRA TISSAGE SY EXTENSION,2,"miv, var",
MPAMPIANATRA @ CEG ANTSAHAMAINA,2,"mpi, mpam",
MIVAROTRA YAOURT MITETY TANANA,2,"miv, var",
MPIASAN NY COMMUNE (VOIRI),2,mpi,
MANOEUVRE FANAMBOARAN-TRANO,2,"man, trano, rano",
MACON (MIASA TENA),2,,
MAGASINIERE AO AMIN'NY ZONE FRANCHE MKLEN,2,,
CHEF MECANICIEN AUTOMOBILE,2,,chef
DIRECTEUR CEG VOHIPENO,2,,directeur
PAPIANATRA NY EPP VOHIPENO,2,,
PANIVANA VOLAMENA,2,,
FIOPMPIANA,2,mpi,
"MIVAROTRA KAFE SY MOFO, SAVONY, BISCUIT",2,"miv, var, mofo",
MANANGONA SY MIVAROTRA JIROFO,2,"man, miv, var",
MPIVAROTRA FANAFODY AM PHARMACIE,2,"mpi, var",
MANDANJA OLONA,2,man,
MPITSABO GENERALISTE,2,mpi,
MIVAROTRA PATY MITETY TRANO MANDEHANDEHA,2,"man, miv, var, trano, rano",
MIVAROTRA PATY,2,"miv, var",
MANAO PATY,2,man,
DEMARCHER LAMBA,2,lamba,
BEN'NY TANANA BEKILY VILLE,2,,
GERANTE ET PROPRIETAIRE RESTAURANT LE COCOTIER,2,,
MAMAFA BUREAU FANJAKANA,2,mam,
MANAO VANILLE,2,man,
MIVAROTRA MITETY TSENA,2,"miv, var",
COUPEUR DE BOIS,2,,
MPIVAROTRA AMAN'OLONA,2,"mpi, man, var",
KATESISTE,2,,
FIAVANA TANIM BOLY,2,,
MAMBOLY TONGOLO SY PETIT POIS VARY,2,"mam, var, vary, mboly",
MPIVAROTRA MAGASIN MISY KOJAKOJA REHETRA,2,"mpi, var",
MPITRANDRAKA FASIKA,2,mpi,
MPANANGONA FAKO AO AMIN NY FOKOTANY,2,"tany, mpan",
MIANTOKA MOFO,2,mofo,
FAMBOLENA MADINIKA,2,famb,
MIVAROTRA TRONDRO MANDENDE,2,"man, miv, var",
MIVAROTRA FRIPERIE MANDEA,2,"man, miv, var",
MEDECIN LABORATN,2,,
MPAMILY AO AMIN'NY TELMA,2,mpam,
"CASH POINT (MVOLA,SNS)",2,,
AGENT DE SURETE,2,,agent
MPIBATA ENTANA AMINY MANGAGIN,2,"mpi, man, entana",
MIKARAMA MIANDRY OMBY ENY AMINY ABATTOIR,2,"omby, karama",
CATHESISTE,2,,
MIVAROTRA KAJAHA SY BALAMBOAY,2,"miv, var",
MITATITRA HAZO,2,,
FACTURIERE,2,,
MANADIO TRANO,2,"man, trano, rano",
MPANJAITRA RAVIN DAMBA,2,mpan,
MPAJONO,2,,
